program,n,p,seconds,speedup,efficiency
floyd_row,60,1,0.00026,1.000000,1.000000
floyd_row,60,4,0.00146,0.178082,0.044521
floyd_row,60,9,0.01335,0.019476,0.002164
floyd_row,60,16,0.00678,0.038348,0.002397
floyd_row,60,25,0.02577,0.010089,0.000404
floyd_row,60,36,0.0073,0.035616,0.000989
floyd_row,480,1,0.07567,1.000000,1.000000
floyd_row,480,4,0.04223,1.791854,0.447964
floyd_row,480,9,0.03641,2.078275,0.230919
floyd_row,480,16,0.03474,2.178181,0.136136
floyd_row,480,25,0.03838,1.971600,0.078864
floyd_row,480,36,0.03065,2.468842,0.068579
floyd_row,1500,1,2.1495,1.000000,1.000000
floyd_row,1500,4,1.15942,1.853944,0.463486
floyd_row,1500,9,0.5324,4.037378,0.448598
floyd_row,1500,16,0.3309,6.495920,0.405995
floyd_row,1500,25,0.23193,9.267883,0.370715
floyd_row,1500,36,0.2011,10.688712,0.296909
floyd_row,3000,1,19.21296,1.000000,1.000000
floyd_row,3000,4,9.01522,2.131169,0.532792
floyd_row,3000,9,4.15392,4.625260,0.513918
floyd_row,3000,16,2.36839,8.112245,0.507015
floyd_row,3000,25,1.58209,12.144037,0.485761
floyd_row,3000,36,1.17874,16.299574,0.452766
floyd_row,4020,1,48.15026,1.000000,1.000000
floyd_row,4020,4,21.68275,2.220671,0.555168
floyd_row,4020,9,9.80075,4.912916,0.545880
floyd_row,4020,16,5.59235,8.610023,0.538126
floyd_row,4020,25,3.67603,13.098440,0.523938
floyd_row,4020,36,2.66014,18.100649,0.502796
floyd_row,6000,1,162.2114,1.000000,1.000000
floyd_row,6000,4,73.16524,2.217056,0.554264
floyd_row,6000,9,32.83237,4.940594,0.548955
floyd_row,6000,16,18.63448,8.704906,0.544057
floyd_row,6000,25,12.34006,13.145106,0.525804
floyd_row,6000,36,8.76369,18.509486,0.514152
floyd_chk,60,1,0.00139,1.000000,1.000000
floyd_chk,60,4,0.0014,0.992857,0.248214
floyd_chk,60,9,0.00387,0.359173,0.039908
floyd_chk,60,16,0.00347,0.400576,0.025036
floyd_chk,60,25,0.01398,0.099428,0.003977
floyd_chk,60,36,0.01236,0.112460,0.003124
floyd_chk,480,1,0.21187,1.000000,1.000000
floyd_chk,480,4,0.11466,1.847811,0.461953
floyd_chk,480,9,0.06305,3.360349,0.373372
floyd_chk,480,16,0.03966,5.342158,0.333885
floyd_chk,480,25,0.05593,3.788128,0.151525
floyd_chk,480,36,0.04295,4.932945,0.137026
floyd_chk,1500,1,6.236,1.000000,1.000000
floyd_chk,1500,4,3.32594,1.874959,0.468740
floyd_chk,1500,9,1.51627,4.112724,0.456969
floyd_chk,1500,16,0.88021,7.084673,0.442792
floyd_chk,1500,25,0.5859,10.643455,0.425738
floyd_chk,1500,36,0.43658,14.283751,0.396771
floyd_chk,3000,1,50.70207,1.000000,1.000000
floyd_chk,3000,4,25.89213,1.958204,0.489551
floyd_chk,3000,9,11.88083,4.267553,0.474173
floyd_chk,3000,16,6.74133,7.521078,0.470067
floyd_chk,3000,25,4.46252,11.361757,0.454470
floyd_chk,3000,36,3.15096,16.090991,0.446972
floyd_chk,4020,1,121.81785,1.000000,1.000000
floyd_chk,4020,4,61.66578,1.975453,0.493863
floyd_chk,4020,9,28.25899,4.310764,0.478974
floyd_chk,4020,16,15.94461,7.640065,0.477504
floyd_chk,4020,25,10.54178,11.555719,0.462229
floyd_chk,4020,36,7.62859,15.968593,0.443572
floyd_chk,6000,1,408.28304,1.000000,1.000000
floyd_chk,6000,4,198.61552,2.055645,0.513911
floyd_chk,6000,9,94.19417,4.334483,0.481609
floyd_chk,6000,16,53.19644,7.675007,0.479688
floyd_chk,6000,25,34.68093,11.772552,0.470902
floyd_chk,6000,36,24.17099,16.891449,0.469207
